,Query,DocID,Text,Score
0,what is the normal appearance of the dengue virus?,886,"Plantar wart signs and symptoms include:A small, rough growth on the bottom of your foot, usually at the base of the toes or on the ball or heel On brown and Black skin, the growth may be lighter than unaffected skin Hard, thickened skin (callus) over a spot on the skin, where a wart has grown inward Black pinpoints, which are small clotted blood vessels commonly called wart seeds A cluster of growths on the sole of the foot (mosaic warts) A growth that interrupts the normal lines and ridges in the skin of your foot Pain or tenderness when walking or standing",1
1,what is the normal appearance of the dengue virus?,191,"IgA nephropathy often doesn't cause symptoms early on. You might not notice any health effects for 10 years or more. Sometimes, routine medical tests find signs of the disease, such as protein and red blood cells in the urine that are seen under a microscope.Cola- or tea-colored urine caused by blood. You might notice these color changes after a cold, sore throat or respiratory infection. Blood that can be seen in the urine. Foamy urine from protein leaking into the urine. This is called proteinuria. Pain on one or both sides of the back below the ribs. Swelling in the hands and feet called edema. High blood pressure. Weakness and tiredness.",1
2,what is the normal appearance of the dengue virus?,1019,An enlarged liver might not cause symptoms.Abdominal pain Fatigue Nausea and vomiting Yellowing of the skin and the whites of the eyes (jaundice),1
3,what is the normal appearance of the dengue virus?,335,"Not all pituitary tumors cause symptoms. Sometimes these tumors are found during an imaging test, such as an MRI or a CT scan, that is done for another reason. If they don't cause symptoms, pituitary tumors usually don't need treatment.Headache. Eye problems due to pressure on the optic nerve, especially loss of side vision, also called peripheral vision, and double vision. Pain in the face, sometimes including sinus pain or ear pain. Drooping eyelid. Seizures. Nausea and vomiting.",1
4,what is the normal appearance of the dengue virus?,1057,"Hepatitis A symptoms typically appear a few weeks after you've had the virus. But not everyone with hepatitis A develops symptoms. If you do, symptoms can include:Unusual tiredness and weakness Sudden nausea and vomiting and diarrhea Abdominal pain or discomfort, especially on the upper right side beneath your lower ribs, which is over your liver Clay- or gray-colored stool Loss of appetite Low-grade fever Dark urine Joint pain Yellowing of the skin and the whites of your eyes (jaundice) Intense itching",1
5,what is the normal appearance of the dengue virus?,95,"Most often, common cold symptoms start 1 to 3 days after someone is exposed to a cold virus. Symptoms vary. They can include:Runny or stuffy nose. Sore or scratchy throat. Cough. Sneezing. Generally feeling unwell. Slight body aches or a mild headache. Low-grade fever.",1
6,what is the normal appearance of the dengue virus?,79,"The symptoms of HIV and AIDS vary, depending on the phase of infection.Fever Headache Muscle aches and joint pain Rash Sore throat and painful mouth sores Swollen lymph glands, mainly on the neck Diarrhea Weight loss Cough Night sweats",1
7,what is the normal appearance of the dengue virus?,1066,"Diabetic ketoacidosis symptoms often come on quickly, sometimes within 24 hours. For some, these symptoms may be the first sign of having diabetes. Symptoms might include:Being very thirsty Urinating often Feeling a need to throw up and throwing up Having stomach pain Being weak or tired Being short of breath Having fruity-scented breath Being confused",1
8,what is the normal appearance of the dengue virus?,782,A double uterus often causes no symptoms. The condition may be discovered during a regular pelvic exam. Or it may be found during imaging tests to find the cause of repeated miscarriages.Infertility. Miscarriage. Premature birth. Kidney problems.,1
9,what is the normal appearance of the dengue virus?,691,"Signs and symptoms of a tooth abscess include:Severe, constant, throbbing toothache that can spread to your jawbone, neck or ear Pain or discomfort with hot and cold temperatures Pain or discomfort with the pressure of chewing or biting Fever Swelling in your face, cheek or neck that may lead to difficulty breathing or swallowing Tender, swollen lymph nodes under your jaw or in your neck Foul odor in your mouth Sudden rush of foul-smelling and foul-tasting, salty fluid in your mouth and pain relief, if the abscess ruptures",1
