index,model,query,ndcg
0,bm25_native_scores,What are the symptoms of a rash on the hands?,0.43827031084946777
1,bm25_native_scores,what do we need to know before attelectasis is diagnosed?,1.0
2,bm25_native_scores,How do you know if you have a popliteal artery aneurysm?,1.0
3,bm25_native_scores,what are the symptoms of pediatric sleep apnea?,1.0
4,bm25_native_scores,what is the common sign of spinal stenosis,1.0
5,bm25_native_scores,who has a broken nose?,1.0
6,bm25_native_scores,Which syndrome is known as triple X syndrome?,1.0
7,bm25_native_scores,What are the symptoms of chronic hives?,0.6023097498746199
8,bm25_native_scores,What is the typical time span for the development of symptoms of epiglottitis?,1.0
9,bm25_native_scores,What are the symptoms of long term exposure to asbestos?,1.0
10,bm25_native_scores,What can increase the pain?,0.3032266514147959
11,bm25_native_scores,"Who does the word ""abuser"" refer to?",1.0
12,bm25_native_scores,How can you tell if you are albinic?,0.0
13,bm25_native_scores,What are some symptoms of pediatric sleep apnea?,1.0
14,bm25_native_scores,What is the first symptom that should be looked for in infants with reflux?,1.0
15,bm25_native_scores,what are signs and symptoms of encopresis?,1.0
16,bm25_native_scores,What is the most common sign of hydrocele?,1.0
17,bm25_native_scores,what can cause blood in your urine?,0.49523840430730154
18,random_ranker_scores,What are the symptoms of a rash on the hands?,0.43827031084946777
19,random_ranker_scores,what do we need to know before attelectasis is diagnosed?,1.0
20,random_ranker_scores,How do you know if you have a popliteal artery aneurysm?,1.0
21,random_ranker_scores,what are the symptoms of pediatric sleep apnea?,1.0
22,random_ranker_scores,what is the common sign of spinal stenosis,1.0
23,random_ranker_scores,who has a broken nose?,1.0
24,random_ranker_scores,Which syndrome is known as triple X syndrome?,1.0
25,random_ranker_scores,What are the symptoms of chronic hives?,0.6023097498746199
26,random_ranker_scores,What is the typical time span for the development of symptoms of epiglottitis?,1.0
27,random_ranker_scores,What are the symptoms of long term exposure to asbestos?,1.0
28,random_ranker_scores,What can increase the pain?,0.3225181699807339
29,random_ranker_scores,"Who does the word ""abuser"" refer to?",1.0
30,random_ranker_scores,How can you tell if you are albinic?,0.0
31,random_ranker_scores,What are some symptoms of pediatric sleep apnea?,1.0
32,random_ranker_scores,What is the first symptom that should be looked for in infants with reflux?,1.0
33,random_ranker_scores,what are signs and symptoms of encopresis?,1.0
34,random_ranker_scores,What is the most common sign of hydrocele?,1.0
35,random_ranker_scores,what can cause blood in your urine?,0.49523840430730154
36,bm25_nq_nn_ranker,What are the symptoms of a rash on the hands?,0.43827031084946777
37,bm25_nq_nn_ranker,what do we need to know before attelectasis is diagnosed?,1.0
38,bm25_nq_nn_ranker,How do you know if you have a popliteal artery aneurysm?,1.0
39,bm25_nq_nn_ranker,what are the symptoms of pediatric sleep apnea?,1.0
40,bm25_nq_nn_ranker,what is the common sign of spinal stenosis,1.0
41,bm25_nq_nn_ranker,who has a broken nose?,1.0
42,bm25_nq_nn_ranker,Which syndrome is known as triple X syndrome?,1.0
43,bm25_nq_nn_ranker,What are the symptoms of chronic hives?,0.6203616696709016
44,bm25_nq_nn_ranker,What is the typical time span for the development of symptoms of epiglottitis?,1.0
