,Query,DocID,Text,Score
0,Which two are the main symptoms of albinism?,20,"The effects of long-term exposure to asbestos typically don't show up until 10-40 years after initial exposure. Symptoms can vary in severity.Shortness of breath A persistent, dry cough Chest tightness or pain Dry and crackling sounds in your lungs when you inhale Fingertips and toes that appear wider and rounder than usual (clubbing)",1
1,Which two are the main symptoms of albinism?,258,"In multiple sclerosis, the protective coating on nerve fibers (myelin) in the central nervous system is damaged. This creates a lesion that, depending on the location in the central nervous system, may cause symptoms such as numbness, pain or tingling in parts of the body.Numbness or weakness in one or more limbs that typically occurs on one side of your body at a time Tingling Electric-shock sensations that occur with certain neck movements, especially bending the neck forward (Lhermitte sign) Lack of coordination Unsteady gait or inability to walk Partial or complete loss of vision, usually in one eye at a time, often with pain during eye movement Prolonged double vision Blurry vision Vertigo Problems with sexual, bowel and bladder function Fatigue Slurred speech Cognitive problems Mood disturbances",1
2,Which two are the main symptoms of albinism?,984,"Symptoms can vary widely by type of porphyria and in how severe the symptoms are. Symptoms also can vary among people with the condition. Some people with a gene change that causes porphyria never have any symptoms.Severe pain in the belly, chest, legs or back. Digestive problems, such as constipation, nausea and vomiting. Muscle pain, tingling, numbness, weakness or paralysis. Red or brown urine. Mental changes, such as anxiety, hallucinations or mental confusion. Rapid or irregular heartbeats you can feel, called palpitations. Breathing problems. High blood pressure. Seizures.",1
3,Which two are the main symptoms of albinism?,181,"Septic arthritis typically causes extreme discomfort and difficulty using the affected joint. The joint could be swollen, red and warm, and you might have a fever.Existing joint problems. Chronic diseases and conditions that affect your joints — such as osteoarthritis, gout, rheumatoid arthritis or lupus — can increase your risk of septic arthritis, as can previous joint surgery and joint injury. Having an artificial joint. Bacteria can be introduced during joint replacement surgery, or an artificial joint may become infected if germs travel to the joint from a different area of the body through the bloodstream. Taking medications for rheumatoid arthritis. People with rheumatoid arthritis have a further increase in risk because of medications they take that can suppress the immune system, making infections more likely to occur. Diagnosing septic arthritis in people with rheumatoid arthritis is difficult because many of the signs and symptoms are similar. Skin fragility. Skin that breaks easily and heals poorly can give bacteria access to your body. Skin conditions such as psoriasis and eczema increase your risk of septic arthritis, as do infected skin wounds. People who regularly inject drugs also have a higher risk of infection at the site of injection. Weak immune system. People with a weak immune system are at greater risk of septic arthritis. This includes people with diabetes, kidney and liver problems, and those taking drugs that suppress their immune systems. Joint trauma. Animal bites, puncture wounds or cuts over a joint can put you at risk of septic arthritis.",1
4,Which two are the main symptoms of albinism?,911,"These are common features of ganglion cysts:Location. Ganglion cysts most often develop along the tendons or joints of wrists or hands. The next most common locations are the ankles and feet. These cysts grow near other joints too. Shape and size. Ganglion cysts are round or oval. Some are too small to feel. The size of a cyst can change, often getting larger over time with joint movement. Pain. Ganglion cysts usually are painless. But if a cyst presses on a nerve or other structures, it can cause pain, tingling, numbness or muscle weakness.",1
5,Which two are the main symptoms of albinism?,274,"There are many different types of Ehlers-Danlos syndrome, but the most common signs and symptoms include:Overly flexible joints. Because the connective tissue that holds joints together is looser, your joints can move far past the normal range of motion. Joint pain and dislocations are common. Stretchy skin. Weakened connective tissue allows your skin to stretch much more than usual. You may be able to pull a pinch of skin up away from your flesh, but it will snap right back into place when you let go. Your skin might also feel exceptionally soft and velvety. Fragile skin. Damaged skin often doesn't heal well. For example, the stitches used to close a wound often will tear out and leave a gaping scar. These scars may look thin and crinkly.",1
6,Which two are the main symptoms of albinism?,220,"Babies with Rett syndrome usually are born after an uncomplicated pregnancy and delivery. Most infants with Rett syndrome seem to grow and behave as expected for the first six months. After that, signs and symptoms start to appear.Slowed growth. Brain growth slows after birth. Smaller than usual head size (microcephaly) is sometimes the first sign that a child has Rett syndrome. As children get older, there is delayed growth in other parts of the body. Loss of movement and coordination abilities. The first signs often include reduced hand control and a decreasing ability to crawl or walk. At first, this loss of abilities occurs rapidly, and then it continues more gradually. Eventually muscles become weak or stiff, with unusual movement and positioning. Loss of communication abilities. Children with Rett syndrome typically begin to lose the ability to speak, to make eye contact and to communicate in other ways. They may become disinterested in other people, toys and their surroundings. Some children have rapid changes, such as a sudden loss of language. Over time, children may gradually regain eye contact and develop nonverbal communication skills. Unusual hand movements. Children with Rett syndrome usually develop repetitive, purposeless hand movements, which differ from child to child. Hand movements may include hand-wringing, squeezing, clapping, tapping or rubbing.",1
7,Which two are the main symptoms of albinism?,93,Signs and symptoms of astigmatism may include:Blurred or distorted vision Eyestrain or discomfort Headaches Difficulty with night vision Squinting,1
8,Which two are the main symptoms of albinism?,799,"The main symptom of hyperhidrosis is heavy sweating. This goes beyond the sweating from being in a hot environment, exercising, or feeling anxious or stressed. The type of hyperhidrosis that usually affects the hands, feet, underarms or face causes at least one episode a week when you're awake. And the sweating usually happens on both sides of the body.Sweating disrupts your daily routine Sweating causes emotional distress or social withdrawal You suddenly begin to sweat more than usual You experience night sweats for no apparent reason",1
9,Which two are the main symptoms of albinism?,722,"A pilonidal cyst may not cause symptoms. But if it's infected, the skin around the cyst may be swollen and painful. Symptoms of an infected pilonidal cyst include:A pit near the top of the buttocks crease. Pain. Inflamed, swollen skin. Pus or blood leaking from an opening in the skin. An odor from draining pus.",1
