,Query,DocID,Text,Score
0,What part of the body is a growth plate fracture?,328,"Most people have no symptoms associated with flatfeet. But some people with flatfeet experience foot pain, particularly in the heel or arch area. Pain may worsen with activity. Swelling may occur along the inside of the ankle.Obesity Injury to the foot or ankle Rheumatoid arthritis Aging Diabetes",1
1,What part of the body is a growth plate fracture?,276,"Signs and symptoms of testicular torsion include:Sudden, severe pain in the scrotum — the loose bag of skin under your penis that contains the testicles Swelling of the scrotum Abdominal pain Nausea and vomiting A testicle that's positioned higher than normal or at an unusual angle Frequent urination Fever",1
2,What part of the body is a growth plate fracture?,433,Heart palpitations can feel like the heart is:Beating too fast Flip-flopping Fluttering rapidly Pounding Skipping beats,1
3,What part of the body is a growth plate fracture?,119,"Damage to the protective myelin covering the nerves results in progressive worsening of brain and nervous system functions, including:Loss of the ability to detect sensations, such as touch, pain, heat and sound Loss of intellectual, thinking and memory skills Loss of motor skills, such as walking, moving, speaking and swallowing Stiff, rigid muscles, poor muscle function and paralysis Loss of bladder and bowel function Gallbladder problems Blindness Hearing loss Seizures Emotional and behavioral problems, including unstable emotions and substance misuse",1
4,What part of the body is a growth plate fracture?,1008,"You might not have signs or symptoms if your hypercalcemia is mild. More-severe cases produce signs and symptoms related to the parts of your body affected by the high calcium levels in your blood. Examples include:Kidneys. Excess calcium makes your kidneys work harder to filter it. This can cause excessive thirst and frequent urination. Digestive system. Hypercalcemia can cause stomach upset, nausea, vomiting and constipation. Bones and muscles. In most cases, the excess calcium in your blood was leached from your bones, which weakens them. This can cause bone pain and muscle weakness. Brain. Hypercalcemia can interfere with how your brain works, resulting in confusion, lethargy and fatigue. It can also cause depression. Heart. Rarely, severe hypercalcemia can interfere with your heart function, causing palpitations and fainting, indications of cardiac arrhythmia, and other heart problems.",1
5,What part of the body is a growth plate fracture?,438,Symptoms of sudden cardiac arrest are immediate and severe and include:Sudden collapse. No pulse. No breathing. Loss of consciousness.,1
6,What part of the body is a growth plate fracture?,303,"Anemia symptoms depend on the cause and how bad the anemia is. Anemia can be so mild that it causes no symptoms at first. But symptoms usually then occur and get worse as the anemia gets worse.Tiredness. Weakness. Shortness of breath. Pale or yellowish skin, which might be more obvious on white skin than on Black or brown skin. Irregular heartbeat. Dizziness or lightheadedness. Chest pain. Cold hands and feet. Headaches.",1
7,What part of the body is a growth plate fracture?,179,"High blood pressure usually doesn't cause symptoms. However, signs and symptoms that might indicate a high blood pressure emergency (hypertensive crisis) include:Headaches Seizures Vomiting Chest pains Fast, pounding or fluttering heartbeat (palpitations) Shortness of breath",1
8,What part of the body is a growth plate fracture?,722,"A pilonidal cyst may not cause symptoms. But if it's infected, the skin around the cyst may be swollen and painful. Symptoms of an infected pilonidal cyst include:A pit near the top of the buttocks crease. Pain. Inflamed, swollen skin. Pus or blood leaking from an opening in the skin. An odor from draining pus.",1
9,What part of the body is a growth plate fracture?,816,"If you have rectal prolapse, you may notice a reddish lump that comes out of the anus, often while straining during a bowel movement. The lump may slip back inside the anus, or it may continue to be seen.You cannot control your bowel movements, known as fecal incontinence. Constipation or loose stools. Leaking blood or mucus from the rectum. Feeling that your rectum isn't empty after a bowel movement.",1
10,What part of the body is a growth plate fracture?,709,"Tinea versicolor signs and symptoms include:Patches of skin discoloration, usually on the back, chest, neck and upper arms, which may appear lighter or darker than usual Mild itching Scaling",1
11,What part of the body is a growth plate fracture?,50,"In most cases, infant reflux isn't a cause for concern. It's unusual for stomach contents to have enough acid to irritate the throat or esophagus and cause symptoms.Isn't gaining weight. Consistently spits up forcefully, causing stomach contents to shoot out of the mouth. This is called projectile vomiting. Spits up green or yellow fluid. Spits up blood or stomach contents that look like coffee grounds. Refuses to feed or eat. Has blood in the stool. Has difficulty breathing or a cough that won't go away. Begins spitting up at age 6 months or older. Is unusually irritable after eating. Doesn't have much energy.",1
12,What part of the body is a growth plate fracture?,561,"If you have shin splints, you might notice tenderness, soreness or pain along the inner side of your shinbone and mild swelling in your lower leg. At first, the pain might stop when you stop exercising. Eventually, however, the pain can be continuous and might progress to a stress reaction or stress fracture.You're a runner, especially one beginning a running program You suddenly increase the duration, frequency or intensity of exercise You run on uneven terrain, such as hills, or hard surfaces, such as concrete You're in military training You have flat feet or high arches",1
